Modelo,Total_Cup_Points,Prediccion
SVR,84.92,83.00418679604155
SVR,80.25,81.72338991553774
SVR,80.75,81.20346079806309
SVR,80.75,81.87215758672126
SVR,81.33,83.57984940359765
SVR,78.0,81.21652106756065
SVR,79.0,82.19458440603199
SVR,83.58,83.36306837251432
SVR,82.0,82.92245194604736
SVR,83.42,82.35576682220507
SVR,84.17,82.13291894201242
SVR,78.75,82.33081202563638
SVR,79.75,81.58587926074658
SVR,83.0,82.72665719719909
SVR,84.5,82.8079281785579
SVR,83.08,82.28778234496333
SVR,82.5,82.52049583609079
SVR,83.08,83.46140275609402
SVR,83.25,83.13111757525243
SVR,82.17,81.90304752194025
SVR,82.92,82.73799827755137
SVR,84.42,83.73961961639816
SVR,80.67,82.52320006637298
SVR,81.92,82.23869503389432
SVR,83.5,82.06945676880824
SVR,80.25,82.19623308461334
SVR,85.92,83.4532482362293
SVR,80.33,82.06922741318178
SVR,83.08,83.67172289081911
SVR,82.33,82.06412419862838
SVR,85.83,85.25251568040848
SVR,82.42,80.84217160848786
SVR,84.5,82.90281679760466
SVR,84.92,82.40627597150598
SVR,79.08,82.51540001793211
SVR,82.08,83.02149009304922
SVR,82.75,81.66777677526136
SVR,82.67,82.74516140249366
SVR,83.5,83.08981072892973
SVR,82.25,83.38244128495745
SVR,82.42,83.03305284108598
SVR,83.08,83.11574014927358
SVR,82.67,81.85811152300808
SVR,80.25,82.5814345907695
SVR,77.83,82.25811521487663
SVR,82.33,82.12393266146248
SVR,82.58,82.52902519995433
SVR,76.75,81.42407100326483
SVR,79.75,81.69813297279931
SVR,77.33,81.23589374266528
SVR,81.25,82.14010558849363
SVR,82.75,82.21769883252703
SVR,80.5,81.83636623766408
SVR,81.67,82.52317787836859
SVR,79.0,80.70923980088419
SVR,81.5,82.56309792737622
SVR,83.42,84.35930190854363
SVR,82.75,82.84557968278521
SVR,80.58,82.91858993208096
SVR,80.5,81.10234034240578
SVR,81.67,82.57214841149435
SVR,84.5,82.42626876677129
SVR,81.5,82.24145590240379
SVR,78.58,81.91106048048965
SVR,83.25,84.05842243886596
SVR,83.75,81.9147386795548
SVR,81.08,81.61011908921645
SVR,84.25,80.83687513111732
SVR,81.83,82.40421834577208
SVR,83.75,82.55968362231135
SVR,84.67,81.75725804017976
SVR,81.67,82.55968362231135
SVR,83.5,83.09729895855493
SVR,82.92,84.03299087498246
SVR,82.75,81.76018856836649
SVR,80.25,81.71907103430735
SVR,82.42,82.66447360269805
SVR,83.75,80.71299295940373
SVR,84.25,83.78068304719558
SVR,82.25,81.78070141276244
SVR,81.92,82.68432884982654
SVR,83.83,82.54157849726117
SVR,88.08,86.26318621791168
SVR,84.58,84.64495063948276
CatBoost,82.75,81.05959307947802
CatBoost,83.58,81.84412163425688
CatBoost,82.25,82.20184730143808
CatBoost,80.83,81.48211872069052
CatBoost,79.67,81.84135377815072
CatBoost,81.08,82.93626627177427
CatBoost,83.08,83.24719429523213
CatBoost,82.67,82.47351287768284
CatBoost,81.67,81.88973322176253
CatBoost,85.33,83.75285254902356
CatBoost,82.25,82.40290466021216
CatBoost,79.92,80.96753368127051
CatBoost,82.33,81.43532388190386
CatBoost,83.17,82.65861885402408
CatBoost,81.25,82.41338631863643
CatBoost,86.08,84.30623763407688
CatBoost,85.5,82.27943440433735
CatBoost,82.33,82.2349311871262
CatBoost,82.42,81.52150735492195
CatBoost,83.5,83.02343529002805
CatBoost,83.25,81.44701989845814
CatBoost,81.17,82.52513832293735
CatBoost,80.67,81.3158978008974
CatBoost,85.0,83.94448921230348
CatBoost,83.08,83.18960409138747
CatBoost,83.92,81.58966821849351
CatBoost,78.58,81.79519089122618
CatBoost,84.17,80.31891949903297
CatBoost,81.83,82.54581681407979
CatBoost,83.58,83.42826172014433
CatBoost,76.5,81.50883012870118
CatBoost,83.42,82.28119786310546
CatBoost,82.08,83.57490908914697
CatBoost,81.83,82.17702172206539
CatBoost,82.67,81.78479398173123
CatBoost,85.58,83.1182017275767
CatBoost,81.42,83.55781153776297
CatBoost,82.17,82.1294430403756
CatBoost,83.17,83.07060945867256
CatBoost,83.0,83.30656763675015
CatBoost,85.33,83.1625811394082
CatBoost,81.58,83.14006681768812
CatBoost,83.75,79.7322302922276
CatBoost,82.5,82.66030970655247
CatBoost,79.5,81.66685600160226
CatBoost,80.08,81.64513104927471
CatBoost,80.67,82.21653768325004
CatBoost,84.25,83.00764526764962
CatBoost,80.83,81.79348676195626
CatBoost,81.5,82.61063959907621
CatBoost,84.25,82.4127171475051
CatBoost,82.83,82.95915863655866
CatBoost,79.83,78.90094213339823
CatBoost,80.42,82.60140041855149
CatBoost,83.0,82.84059926139811
CatBoost,87.08,86.90796252548347
CatBoost,81.08,81.69490023064797
CatBoost,75.17,80.28020457441652
CatBoost,82.5,81.09600200055664
CatBoost,86.0,82.73756110838443
CatBoost,82.67,83.19150515435065
CatBoost,86.08,82.69040188121484
CatBoost,84.25,83.86020671908523
CatBoost,79.33,82.72281469969866
CatBoost,82.0,82.84397511183475
CatBoost,84.33,82.63513219096437
CatBoost,81.92,81.36254641586845
CatBoost,82.0,82.9980801062343
CatBoost,83.5,80.61790353218261
CatBoost,82.58,80.91256126041996
CatBoost,82.08,83.08627168834965
CatBoost,79.92,80.38262561985741
CatBoost,83.92,81.10524191186218
CatBoost,82.92,82.31078291741946
CatBoost,81.5,81.131338828587
CatBoost,81.42,82.61332100097157
CatBoost,80.17,81.190465438091
CatBoost,80.25,82.88772080546782
CatBoost,83.08,81.39083066609847
CatBoost,81.83,83.14747268055395
CatBoost,81.17,80.93368792547868
CatBoost,83.25,79.5937867821342
CatBoost,81.0,82.37461821626827
CatBoost,81.83,82.38593560333702
CatBoost,86.42,82.91455062037306
CatBoost,82.33,80.94598744382753
CatBoost,74.92,79.19961630359994
CatBoost,82.67,83.96060755689732
CatBoost,85.33,85.56604454302921
CatBoost,82.0,83.12423225001747
CatBoost,82.42,83.97896677697415
CatBoost,79.67,80.5456174151564
CatBoost,82.75,83.74296256185667
CatBoost,83.33,82.84059926139811
CatBoost,83.83,81.7009791871772
CatBoost,84.08,81.93267744934478
CatBoost,81.83,81.70139511360128
CatBoost,84.0,83.04507392327272
CatBoost,83.25,82.86815506404146
CatBoost,84.0,81.92215263774828
CatBoost,84.83,81.79610045593274
CatBoost,81.0,82.66619922873889
CatBoost,84.0,82.57960148929264
CatBoost,83.25,83.07027109860293
CatBoost,84.13,83.20679795037927
CatBoost,81.75,81.56745559496721
CatBoost,82.67,82.97762155630876
CatBoost,83.33,83.1244849613724
CatBoost,84.25,82.67656934425699
CatBoost,83.33,81.72374768402608
CatBoost,84.0,81.66993940277864
CatBoost,82.83,81.60642970235479
CatBoost,82.33,83.28475808844124
CatBoost,85.83,82.7167568496999
CatBoost,76.33,81.02352294887297
CatBoost,82.33,81.52522753142908
CatBoost,82.75,82.55606795749759
CatBoost,75.5,79.36287632667705
CatBoost,82.67,81.19381516528527
CatBoost,81.83,82.19769702320592
CatBoost,83.0,82.84463022967839
CatBoost,81.08,81.22049649440716
CatBoost,86.0,84.21828406162516
CatBoost,83.17,82.57006688182967
CatBoost,83.17,82.985379269939
CatBoost,82.92,82.95806655709315
CatBoost,85.17,82.83462301398073
CatBoost,80.67,82.68676518708848
CatBoost,84.75,81.99587681020641
CatBoost,84.0,80.91678576053026
CatBoost,80.75,82.57604753286468
CatBoost,80.58,82.10590103700082
CatBoost,74.0,78.18329070176232
CatBoost,82.25,82.591381932282
CatBoost,82.0,81.08749642876106
CatBoost,82.33,81.54690000941764
CatBoost,84.67,82.62479505304775
CatBoost,83.42,82.8550759561726
CatBoost,83.83,83.20089835110625
CatBoost,82.08,80.17278160492364
CatBoost,80.58,82.84059926139811
CatBoost,83.17,82.69265443931029
CatBoost,79.75,80.49151751699381
CatBoost,80.25,79.02522956323092
CatBoost,80.92,81.4998740907688
CatBoost,80.0,79.86914689418133
CatBoost,79.42,80.12375851877533
CatBoost,86.58,82.51706332965
CatBoost,82.83,81.96846751070123
CatBoost,83.0,82.13089161978326
CatBoost,86.5,83.49164244017715
CatBoost,83.67,82.67839489077892
CatBoost,83.83,81.76541171303928
CatBoost,83.33,82.86293532295313
CatBoost,84.17,85.47908778700342
CatBoost,85.42,82.96647205265504
CatBoost,82.92,80.26784971097013
CatBoost,84.08,83.25809475833506
CatBoost,83.5,82.55240003414845
CatBoost,81.5,81.93909386650833
CatBoost,78.75,79.39220757602936
CatBoost,83.92,81.79014855670253
CatBoost,82.0,82.57006688182967
CatBoost,83.58,83.05607737091631
CatBoost,82.92,83.68496230674297
CatBoost,86.0,83.81217504613356
CatBoost,84.92,82.57823998772956
CatBoost,84.58,82.50889297294664
CatBoost,83.17,81.63841109117581
CatBoost,82.0,82.04912184480104
CatBoost,81.67,81.85239516671378
CatBoost,84.17,82.15369142271726
CatBoost,82.17,83.67381567622252
CatBoost,73.5,82.5829141252238
CatBoost,78.5,80.16109797849457
CatBoost,81.08,85.40831935723594
CatBoost,84.92,83.2659379580504
CatBoost,80.25,80.5880975605963
CatBoost,80.75,79.86132564297155
CatBoost,80.75,82.4041291844707
CatBoost,81.33,83.30656763675015
CatBoost,78.0,81.2614984756881
CatBoost,79.0,81.06157398916856
CatBoost,83.58,83.50393481149648
CatBoost,82.0,82.57416845703138
CatBoost,83.42,82.28491810196623
CatBoost,84.17,82.03242831969
CatBoost,78.75,81.91695033242641
CatBoost,79.75,80.49698447903599
CatBoost,83.0,82.64905334900686
CatBoost,84.5,82.51365594798268
CatBoost,83.08,82.8974268924244
CatBoost,82.5,81.73186417458847
CatBoost,83.08,83.50529968000842
CatBoost,83.25,83.11957163899132
CatBoost,82.17,82.46590472020584
CatBoost,82.92,81.91313260055237
CatBoost,84.42,83.35220146000239
CatBoost,80.67,82.41138650545724
CatBoost,81.92,81.94524488573967
CatBoost,83.5,81.55237910082461
CatBoost,80.25,82.07078384866867
CatBoost,85.92,83.3247817381821
CatBoost,80.33,81.99987293314481
CatBoost,83.08,82.78572234571948
CatBoost,82.33,81.73734399759672
CatBoost,85.83,85.17290696570831
CatBoost,82.42,79.82095264626886
CatBoost,84.5,82.3500643482435
CatBoost,84.92,82.76810719964229
CatBoost,79.08,81.6960724008372
CatBoost,82.08,82.89392680204554
CatBoost,82.75,81.01663653817923
CatBoost,82.67,82.13483097650811
CatBoost,83.5,83.06291166731407
CatBoost,82.25,82.91290622872567
CatBoost,82.42,83.099904204776
CatBoost,83.08,82.53967640116406
CatBoost,82.67,82.38624420981422
CatBoost,80.25,82.32127717609976
CatBoost,77.83,82.4720809790338
CatBoost,82.33,81.16649247422666
CatBoost,82.58,82.4189487411016
CatBoost,76.75,81.04363113432159
CatBoost,79.75,81.34946325865144
CatBoost,77.33,80.16630460089871
CatBoost,81.25,82.10558183843067
CatBoost,82.75,82.48884345418944
CatBoost,80.5,81.66344426547995
CatBoost,81.67,82.31813684065771
CatBoost,79.0,77.64598434598939
CatBoost,81.5,82.25674222149996
CatBoost,83.42,84.03392813927745
CatBoost,82.75,82.51382524486272
CatBoost,80.58,82.40566368727964
CatBoost,80.5,80.58906037335208
CatBoost,81.67,82.31322581164035
CatBoost,84.5,82.22268210685
CatBoost,81.5,81.73510565879621
CatBoost,78.58,81.26698324534054
CatBoost,83.25,83.94187527179251
CatBoost,83.75,81.38189814415178
CatBoost,81.08,78.93799710551427
CatBoost,84.25,81.02149963991027
CatBoost,81.83,81.18770757875411
CatBoost,83.75,82.12825239340012
CatBoost,84.67,80.99637725445845
CatBoost,81.67,82.12825239340012
CatBoost,83.5,83.16318059467862
CatBoost,82.92,83.96060755689732
CatBoost,82.75,81.37034868752515
CatBoost,80.25,82.16196322261993
CatBoost,82.42,82.83476708367867
CatBoost,83.75,80.65974853653734
CatBoost,84.25,83.50106079957364
CatBoost,82.25,81.70982171883917
CatBoost,81.92,82.8758627042867
CatBoost,83.83,82.62212359200136
CatBoost,88.08,85.74875664985485
CatBoost,84.58,84.14252073506358
LinearRegression,82.75,80.57630277549661
LinearRegression,83.58,81.80822481856083
LinearRegression,82.25,82.5324112744791
LinearRegression,80.83,82.32756455576546
LinearRegression,79.67,83.01599644001607
LinearRegression,81.08,85.49651294608222
LinearRegression,83.08,82.87145770169542
LinearRegression,82.67,82.37108096622484
LinearRegression,81.67,82.15072571029442
LinearRegression,85.33,83.63446807063052
LinearRegression,82.25,81.64608233719862
LinearRegression,79.92,80.49972887636348
LinearRegression,82.33,81.21401472959755
LinearRegression,83.17,82.414572562529
LinearRegression,81.25,81.97577555081392
LinearRegression,86.08,84.43655678111097
LinearRegression,85.5,81.32503630451562
LinearRegression,82.33,82.28488781864185
LinearRegression,82.42,80.42585438771033
LinearRegression,83.5,83.26594916134452
LinearRegression,83.25,81.485179288765
LinearRegression,81.17,82.28692135408403
LinearRegression,80.67,81.32778713416042
LinearRegression,85.0,84.38145869783658
LinearRegression,83.08,82.97337685831081
LinearRegression,83.92,82.40358758610724
LinearRegression,78.58,81.90208324962538
LinearRegression,84.17,80.42796693716438
LinearRegression,81.83,82.74345534010041
LinearRegression,83.58,83.72170669641886
LinearRegression,76.5,81.10498394354777
LinearRegression,83.42,83.21092624994077
LinearRegression,82.08,83.30503376536812
LinearRegression,81.83,81.73830502141267
LinearRegression,82.67,81.30667164495324
LinearRegression,85.58,83.92653751270205
LinearRegression,81.42,83.66971067270802
LinearRegression,82.17,82.12663754218153
LinearRegression,83.17,83.7858397061316
LinearRegression,83.0,83.5918083714327
LinearRegression,85.33,82.87252992583679
LinearRegression,81.58,83.13267649073765
LinearRegression,83.75,81.80194285405116
LinearRegression,82.5,81.87736865574875
LinearRegression,79.5,81.60538374110968
LinearRegression,80.08,81.6834475643673
LinearRegression,80.67,82.80427835338864
LinearRegression,84.25,83.0139571928099
LinearRegression,80.83,81.38149260056026
LinearRegression,81.5,81.8894412968722
LinearRegression,84.25,82.37039321275525
LinearRegression,82.83,83.14043117675716
LinearRegression,79.83,80.87518304442091
LinearRegression,80.42,80.96217711504325
LinearRegression,83.0,82.94978185581029
LinearRegression,87.08,85.45113073650776
LinearRegression,81.08,81.57975489800411
LinearRegression,75.17,78.16982883894136
LinearRegression,82.5,81.19400467385148
LinearRegression,86.0,82.48058385702068
LinearRegression,82.67,83.46572926979167
LinearRegression,86.08,82.62950517472233
LinearRegression,84.25,84.01211089637478
LinearRegression,79.33,82.2932243783506
LinearRegression,82.0,83.11523034306131
LinearRegression,84.33,83.30066988941262
LinearRegression,81.92,80.83971225479681
LinearRegression,82.0,82.96213455466977
LinearRegression,83.5,80.71769285675354
LinearRegression,82.58,80.33157769908074
LinearRegression,82.08,82.88269655022422
LinearRegression,79.92,81.30168612501379
LinearRegression,83.92,81.89026693511204
LinearRegression,82.92,82.92644786658263
LinearRegression,81.5,81.50018945700226
LinearRegression,81.42,83.15650123773952
LinearRegression,80.17,81.00134038178032
LinearRegression,80.25,83.03054629781687
LinearRegression,83.08,81.30408861962754
LinearRegression,81.83,83.48594317681469
LinearRegression,81.17,81.15249156375204
LinearRegression,83.25,80.52859916764135
LinearRegression,81.0,82.36231328350704
LinearRegression,81.83,82.70975006901133
LinearRegression,86.42,82.2632661660063
LinearRegression,82.33,81.3994582817768
LinearRegression,74.92,78.5418114414739
LinearRegression,82.67,84.28923747893131
LinearRegression,85.33,86.17332798156491
LinearRegression,82.0,83.22204379083347
LinearRegression,82.42,83.86784165647455
LinearRegression,79.67,81.43300087466208
LinearRegression,82.75,83.79576183984089
LinearRegression,83.33,82.94978185581029
LinearRegression,83.83,81.75332751203256
LinearRegression,84.08,81.4750660842908
LinearRegression,81.83,81.45240387789985
LinearRegression,84.0,83.31433616918817
LinearRegression,83.25,83.06946220018557
LinearRegression,84.0,81.60235197381029
LinearRegression,84.83,81.69146268617354
LinearRegression,81.0,82.78166361483107
LinearRegression,84.0,82.30809976780371
LinearRegression,83.25,83.14771629088266
LinearRegression,84.13,82.84435345982806
LinearRegression,81.75,82.02329878892198
LinearRegression,82.67,83.08814445324609
LinearRegression,83.33,83.32793276891505
LinearRegression,84.25,83.85712844030176
LinearRegression,83.33,81.23771098884981
LinearRegression,84.0,81.14778845171466
LinearRegression,82.83,81.42284016023883
LinearRegression,82.33,83.47362306789796
LinearRegression,85.83,83.79832337368596
LinearRegression,76.33,81.00641196325921
LinearRegression,82.33,81.43437165197044
LinearRegression,82.75,82.2308736061977
LinearRegression,75.5,79.7023755159638
LinearRegression,82.67,81.60920629181723
LinearRegression,81.83,81.86312119621311
LinearRegression,83.0,83.36452535311473
LinearRegression,81.08,81.1155691756182
LinearRegression,86.0,85.01204723867723
LinearRegression,83.17,82.68490723430087
LinearRegression,83.17,83.11608550240057
LinearRegression,82.92,82.36063990003464
LinearRegression,85.17,82.62539378767461
LinearRegression,80.67,82.93662030090972
LinearRegression,84.75,82.62017672628615
LinearRegression,84.0,82.57942889507147
LinearRegression,80.75,82.57001987817269
LinearRegression,80.58,81.75412469162494
LinearRegression,74.0,78.58991182961509
LinearRegression,82.25,83.01854499445597
LinearRegression,82.0,81.64179043715176
LinearRegression,82.33,82.26353234042357
LinearRegression,84.67,83.26991862218013
LinearRegression,83.42,82.93568039804876
LinearRegression,83.83,83.56430337598454
LinearRegression,82.08,79.63476682495258
LinearRegression,80.58,82.94978185581029
LinearRegression,83.17,82.2691843711517
LinearRegression,79.75,79.6043670252695
LinearRegression,80.25,78.09604663610135
LinearRegression,80.92,81.46579972007571
LinearRegression,80.0,79.85152410877589
LinearRegression,79.42,81.17644162571834
LinearRegression,86.58,82.71428224598745
LinearRegression,82.83,81.30778619178531
LinearRegression,83.0,82.12039867947185
LinearRegression,86.5,83.20221989793858
LinearRegression,83.67,82.973268047903
LinearRegression,83.83,82.22750847970124
LinearRegression,83.33,82.15099906761695
LinearRegression,84.17,86.60639948550808
LinearRegression,85.42,83.9062448085689
LinearRegression,82.92,81.29224980576828
LinearRegression,84.08,84.55846574262848
LinearRegression,83.5,82.45896043414749
LinearRegression,81.5,81.71103332051433
LinearRegression,78.75,80.59966615248175
LinearRegression,83.92,81.22999159195952
LinearRegression,82.0,82.68490723430087
LinearRegression,83.58,83.70023190762788
LinearRegression,82.92,84.3218820147002
LinearRegression,86.0,83.84120142755887
LinearRegression,84.92,82.69190297388727
LinearRegression,84.58,82.6747485729033
LinearRegression,83.17,81.06085873449469
LinearRegression,82.0,80.19519741940564
LinearRegression,81.67,81.47410266803399
LinearRegression,84.17,82.51991059816508
LinearRegression,82.17,83.9100478541821
LinearRegression,73.5,82.4724586259994
LinearRegression,78.5,80.17712841236136
LinearRegression,81.08,85.61995081179491
LinearRegression,84.92,83.24216247813729
LinearRegression,80.25,81.29232464861656
LinearRegression,80.75,80.62405115889494
LinearRegression,80.75,81.76463038412507
LinearRegression,81.33,83.5918083714327
LinearRegression,78.0,81.40358036012081
LinearRegression,79.0,81.08880076863124
LinearRegression,83.58,83.6865079398986
LinearRegression,82.0,82.18834937379546
LinearRegression,83.42,82.8277548797562
LinearRegression,84.17,82.32729487017455
LinearRegression,78.75,82.12632645469637
LinearRegression,79.75,80.95763406678199
LinearRegression,83.0,83.28029100458104
LinearRegression,84.5,83.00407123974416
LinearRegression,83.08,82.35519415840709
LinearRegression,82.5,81.53147469980698
LinearRegression,83.08,82.78606448179892
LinearRegression,83.25,83.25787651218992
LinearRegression,82.17,81.8168098329489
LinearRegression,82.92,81.63532592404394
LinearRegression,84.42,83.24115175002201
LinearRegression,80.67,82.8748072876812
LinearRegression,81.92,83.05222670494538
LinearRegression,83.5,81.89419217341586
LinearRegression,80.25,82.29992465641027
LinearRegression,85.92,84.00852674065577
LinearRegression,80.33,81.90662086836964
LinearRegression,83.08,83.1677175247261
LinearRegression,82.33,81.83573882831978
LinearRegression,85.83,85.56083905805534
LinearRegression,82.42,79.82009604067062
LinearRegression,84.5,82.62024431200018
LinearRegression,84.92,82.33746705924499
LinearRegression,79.08,82.27617978107591
LinearRegression,82.08,82.49031310005671
LinearRegression,82.75,81.11278532447844
LinearRegression,82.67,82.12876379903217
LinearRegression,83.5,83.39165897249886
LinearRegression,82.25,82.36674562332497
LinearRegression,82.42,82.37623705680883
LinearRegression,83.08,81.98468471727257
LinearRegression,82.67,82.08531425597353
LinearRegression,80.25,82.19958926561914
LinearRegression,77.83,82.48869955972421
LinearRegression,82.33,81.38545326840752
LinearRegression,82.58,82.56181191345729
LinearRegression,76.75,82.03588822725362
LinearRegression,79.75,81.59233940874307
LinearRegression,77.33,81.41281223278783
LinearRegression,81.25,82.29212607802317
LinearRegression,82.75,82.01196560606269
LinearRegression,80.5,80.73792278808499
LinearRegression,81.67,82.78363988875115
LinearRegression,79.0,78.50884175625578
LinearRegression,81.5,83.05197711310645
LinearRegression,83.42,84.21406123380403
LinearRegression,82.75,82.80398984983127
LinearRegression,80.58,82.88228815604148
LinearRegression,80.5,81.30251860145506
LinearRegression,81.67,82.38613483991311
LinearRegression,84.5,82.63319519081111
LinearRegression,81.5,81.91758790857715
LinearRegression,78.58,81.69392403506686
LinearRegression,83.25,84.17495146459011
LinearRegression,83.75,81.9671627998231
LinearRegression,81.08,81.43672757007491
LinearRegression,84.25,81.28083613372472
LinearRegression,81.83,81.41138786327987
LinearRegression,83.75,82.11977479320089
LinearRegression,84.67,81.42635911444899
LinearRegression,81.67,82.11977479320089
LinearRegression,83.5,83.37996110491822
LinearRegression,82.92,84.28923747893131
LinearRegression,82.75,81.38845758062163
LinearRegression,80.25,81.48655977100707
LinearRegression,82.42,82.99706704498514
LinearRegression,83.75,80.76202399312925
LinearRegression,84.25,83.29658821525427
LinearRegression,82.25,81.31201157097462
LinearRegression,81.92,82.14118114508517
LinearRegression,83.83,83.41292073973018
LinearRegression,88.08,86.20982368348164
LinearRegression,84.58,85.01061990716633
Voting_Ensemble,82.75,81.26444015826304
Voting_Ensemble,83.58,81.91675581977084
Voting_Ensemble,82.25,82.1038002426562
Voting_Ensemble,80.83,81.86739566844183
Voting_Ensemble,79.67,81.47960009330409
Voting_Ensemble,81.08,82.57336273143709
Voting_Ensemble,83.08,83.12350579185062
Voting_Ensemble,82.67,82.27862690891995
