Species,Owner,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Color,Category.Two.Defects,altitude_mean_meters,categoria_altitud,Nombre_Comercial,Puntaje_Real,Puntaje_Predicho,Clasificacion_Real,Clasificacion_Predicha,Acierto
Arabica,mohammed lalo,Ethiopia,Other,300,60 kg,METAD Agricultural Development plc,"March 27th, 2015",Other,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,8.58,88.08,0.1,0,Green,1,1905.0,Premium (Arabica),Mill MOH,88.08,86.26318621791168,Premium,Premium,Sí
Arabica,cqi q coffee sample representative,Other,Other,10,1 kg,Almacafé,"March 13th, 2015",Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,8.5,87.92,0.0,0,Other,0,1872.0,Premium (Arabica),Mill CQI,87.92,84.85138241874951,Premium,Premium,Sí
Arabica,cqi q coffee sample representative,Other,Other,10,1 kg,Almacafé,"March 13th, 2015",Other,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,8.33,87.92,0.0,0,Other,0,1943.0,Premium (Arabica),Mill CQI,87.92,84.91530064112186,Premium,Premium,Sí
Arabica,grounds for health admin,United States (Hawaii),kona,1,1,Specialty Coffee Association,"May 31st, 2010",Hawaiian Kona,Natural / Dry,8.33,8.42,8.08,8.25,8.25,8.0,8.58,87.92,0.0,0,Blue-Green,2,185.80608,Baja (Arabica),Mill GRO,87.92,83.3727151000525,Premium,Premium,Sí
Arabica,ethiopia commodity exchange,Ethiopia,Other,300,60 kg,Ethiopia Commodity Exchange,"August 31st, 2010",Other,Natural / Dry,8.25,8.33,8.5,8.25,8.58,8.75,8.5,87.83,0.05,0,Green,2,1635.0,Alta (Arabica),Select Harvest ETH,87.83,86.2963167171721,Premium,Premium,Sí
Arabica,cqi q coffee sample representative,Other,Other,10,1 kg,Almacafé,"March 13th, 2015",Other,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,8.17,87.58,0.0,0,Other,0,2080.0,Premium (Arabica),Mill CQI,87.58,84.98831944742845,Premium,Premium,Sí
Arabica,grounds for health admin,Indonesia,Other,1,"2 kg,lbs",Specialty Coffee Association,"May 31st, 2010",Other,Washed / Wet,8.33,8.25,7.83,7.75,8.5,8.42,8.33,87.42,0.03,0,Blue-Green,0,1500.0,Alta (Arabica),Mill GRO,87.42,83.85100253292595,Premium,Premium,Sí
Arabica,ethiopia commodity exchange,Ethiopia,Other,150,6,Ethiopia Commodity Exchange,"June 16th, 2010",Other,Natural / Dry,8.17,8.33,8.25,8.33,8.42,8.33,8.83,87.33,0.05,0,Green,2,1800.0,Premium (Arabica),Select Harvest ETH,87.33,86.53054386939431,Premium,Premium,Sí
Arabica,yunnan coffee exchange,China,yunnan,3,60 kg,Yunnan Coffee Exchange,"April 7th, 2016",Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,8.42,87.25,0.1,0,Green,0,1450.0,Media (Arabica),Private Reserve YUN,87.25,83.55708463675403,Premium,Premium,Sí
Arabica,essencecoffee,Ethiopia,Other,250,60 kg,Blossom Valley International,"March 25th, 2015",Other,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,8.33,87.25,0.0,0,Green,8,1850.0,Premium (Arabica),Private Reserve ESS,87.25,85.53127129398743,Premium,Premium,Sí
Arabica,cqi q coffee sample representative,Other,Other,10,1 kg,Almacafé,"March 13th, 2015",Other,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,8.17,87.25,0.0,0,Other,0,2019.0,Premium (Arabica),Mill CQI,87.25,84.96427045328258,Premium,Premium,Sí
Arabica,the coffee source inc.,Costa Rica,Other,250,3 lbs,Specialty Coffee Association,"April 2nd, 2014",Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,8.33,87.17,0.11,0,Green,2,1300.0,Media (Arabica),Origins THE,87.17,82.82015927998447,Premium,Premium,Sí
Arabica,roberto licona franco,Mexico,Other,14,1 kg,AMECAFE,"July 26th, 2012",Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,8.58,87.17,0.13,0,Green,0,1320.0,Media (Arabica),Origins ROB,87.17,82.45341606738454,Premium,Estándar,No
Arabica,cqi q coffee sample representative,Other,Other,10,1 kg,Almacafé,"March 13th, 2015",Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,8.17,87.08,0.0,0,Other,0,2112.0,Premium (Arabica),Mill CQI,87.08,84.99534250646516,Premium,Premium,Sí
Arabica,ji-ae ahn,Ethiopia,sidamo,100,60 kg,Specialty Coffee Institute of Asia,"September 3rd, 2013",Other,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,8.08,87.08,0.11,0,Blue-Green,1,1800.0,Premium (Arabica),Mill JI-,87.08,85.1292705657214,Premium,Premium,Sí
Arabica,nucoffee,Brazil,south of minas,3,60 kg,NUCOFFEE,"December 3rd, 2011",Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,7.92,86.92,0.12,0,Green,2,1250.0,Media (Arabica),Heritage NUC,86.92,82.72203690270398,Premium,Premium,Sí
Arabica,ethiopia commodity exchange,Ethiopia,sidamo,150,6,Ethiopia Commodity Exchange,"June 16th, 2010",Other,Natural / Dry,7.83,8.25,8.08,8.17,8.17,8.17,8.25,86.92,0.05,0,Green,2,1800.0,Premium (Arabica),Select Harvest ETH,86.92,85.69807292542214,Premium,Premium,Sí
Arabica,kabum trading company,Uganda,Other,100,60 kg,Uganda Coffee Development Authority,"June 26th, 2014",SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,8.17,86.83,0.12,0,Green,1,1950.0,Premium (Arabica),Origins KAB,86.83,84.31788561159448,Premium,Premium,Sí
Arabica,bismarck castro,Honduras,comayagua,275,69 kg,Instituto Hondureño del Café,"May 18th, 2017",Caturra,Washed / Wet,8.17,8.08,8.08,8.0,8.08,8.0,8.25,86.67,0.1,0,Green,3,1400.0,Media (Arabica),Heritage BIS,86.67,82.46793065343724,Premium,Estándar,No
Arabica,"lin, che-hao krude 林哲豪",Taiwan,Other,20,50 kg,Specialty Coffee Association,"May 18th, 2016",Other,Pulped Natural / Honey,8.0,8.0,8.0,8.25,8.0,8.17,8.17,86.58,0.0,0,Green,0,1200.0,Media (Arabica),Heritage LIN,86.58,82.92493909784787,Premium,Premium,Sí
Arabica,nora zeas,Nicaragua,Other,275,6,Specialty Coffee Association,"May 18th, 2010",Caturra,Washed / Wet,7.92,8.25,8.0,8.33,8.0,8.08,8.0,86.58,0.08,0,Green,2,1100.0,Media (Arabica),Mill NOR,86.58,82.24507932332979,Premium,Estándar,No
Arabica,specialty coffee-korea,"Tanzania, United Republic Of",Other,100,60 kg,Specialty Coffee Institute of Asia,"September 3rd, 2013",Other,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,8.17,86.5,0.11,0,Blue-Green,1,1600.0,Alta (Arabica),Private Reserve SPE,86.5,83.48481291263712,Premium,Premium,Sí
Arabica,nucoffee,Brazil,Other,29,60 kg,NUCOFFEE,"December 3rd, 2011",Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,8.0,86.42,0.12,0,Green,2,1300.0,Media (Arabica),Heritage NUC,86.42,82.45078558900106,Premium,Estándar,No
Arabica,francisco a mena,Costa Rica,Other,250,2 lbs,Specialty Coffee Association of Costa Rica,"December 3rd, 2015",Caturra,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,8.42,86.33,0.0,0,Blue-Green,0,1300.0,Media (Arabica),Heritage FRA,86.33,83.8586087920595,Premium,Premium,Sí
Arabica,hider abamecha,Ethiopia,Other,320,60 kg,METAD Agricultural Development plc,"March 27th, 2015",Other,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,8.08,86.25,0.1,0,Green,3,1775.0,Alta (Arabica),Select Harvest HID,86.25,86.07817230283214,Premium,Premium,Sí
Arabica,daniel magu,Kenya,Other,320,1 kg,Kenya Coffee Traders Association,"May 30th, 2014",Other,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,8.08,86.25,0.12,0,Blue-Green,1,1800.0,Premium (Arabica),Heritage DAN,86.25,84.29396930169273,Premium,Premium,Sí
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,10,100 lbs,Specialty Coffee Association,"April 6th, 2012",Hawaiian Kona,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,8.33,86.25,0.0,1,Blue-Green,4,157.93516800000003,Baja (Arabica),Private Reserve KON,86.25,83.11574014927358,Premium,Premium,Sí
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,25,100 lbs,Specialty Coffee Association,"January 28th, 2011",Hawaiian Kona,Natural / Dry,8.25,8.42,8.08,7.75,7.67,7.83,8.25,86.25,0.0,2,Blue-Green,1,157.93516800000003,Baja (Arabica),Private Reserve KON,86.25,82.89973988989942,Premium,Premium,Sí
Arabica,ethiopia commodity exchange,Ethiopia,Other,300,6,Ethiopia Commodity Exchange,"June 17th, 2010",Other,Natural / Dry,7.92,7.75,8.08,8.08,8.08,8.17,8.17,86.25,0.1,0,Green,2,1800.0,Premium (Arabica),Select Harvest ETH,86.25,86.14117764173585,Premium,Premium,Sí
Arabica,cqi q coffee sample representative,Other,Other,10,1 kg,Almacafé,"March 13th, 2015",Other,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,8.08,86.17,0.0,0,Other,0,1941.0,Premium (Arabica),Mill CQI,86.17,84.91373547026153,Premium,Premium,Sí
Arabica,itdp international,Thailand,Other,53,1 kg,Specialty Coffee Association,"April 12th, 2012",Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,8.42,86.17,0.1,1,Green,9,1300.0,Media (Arabica),Mill ITD,86.17,82.1033218071469,Premium,Estándar,No
Arabica,jacques pereira carneiro,Brazil,Other,300,60 kg,Specialty Coffee Association,"January 4th, 2011",Yellow Bourbon,Natural / Dry,8.17,7.92,7.92,7.75,8.33,8.0,8.08,86.17,0.08,0,Green,2,12.0,Baja (Arabica),Select Harvest JAC,86.17,82.52896495569031,Premium,Premium,Sí
Arabica,jacques pereira carneiro,Brazil,Other,300,60 kg,Specialty Coffee Association,"January 4th, 2011",Yellow Bourbon,Natural / Dry,8.42,7.92,8.0,7.75,7.92,8.0,8.17,86.17,0.01,0,Green,3,12.0,Baja (Arabica),Select Harvest JAC,86.17,82.56611845636132,Premium,Premium,Sí
Arabica,"lin, che-hao krude 林哲豪",Taiwan,Other,10,15 kg,Specialty Coffee Association,"June 10th, 2015",Bourbon,Semi-Washed / Semi-Pulped,8.08,8.17,7.75,8.08,7.75,7.83,8.42,86.08,0.12,0,Green,0,1000.0,Media (Arabica),Heritage LIN,86.08,82.89906598673474,Premium,Premium,Sí
Arabica,jungle estate,Kenya,Other,12,60 kg,Kenya Coffee Traders Association,"January 29th, 2015",SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,8.0,86.08,0.11,0,Blue-Green,2,1754.0,Alta (Arabica),Private Reserve JUN,86.08,84.6121508759227,Premium,Premium,Sí
Arabica,nucoffee,Brazil,south of minas,7,60 kg,NUCOFFEE,"December 3rd, 2011",Bourbon,Semi-Washed / Semi-Pulped,8.33,8.0,8.0,8.0,7.75,8.0,8.0,86.08,0.11,0,Blue-Green,2,1250.0,Media (Arabica),Heritage NUC,86.08,83.17616878010156,Premium,Premium,Sí
Arabica,great lakes coffee uganda,Uganda,Other,1,60 kg,Uganda Coffee Development Authority,"October 1st, 2014",SL14,Semi-Washed / Semi-Pulped,8.08,8.08,7.83,7.92,8.08,7.92,8.08,86.0,0.0,0,Green,0,1675.0,Alta (Arabica),Mill GRE,86.0,84.02919762174979,Premium,Premium,Sí
Arabica,lusso lab,Colombia,Other,1,2 kg,Specialty Coffee Association,"March 20th, 2014",Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,8.17,86.0,0.12,1,Green,1,1200.0,Media (Arabica),Mill LUS,86.0,82.59315751077737,Premium,Premium,Sí
Arabica,lusso lab,Kenya,Other,1,1 kg,Specialty Coffee Association,"February 6th, 2014",SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,8.17,86.0,0.11,0,Green,1,1860.0,Premium (Arabica),Mill LUS,86.0,84.01425413386602,Premium,Premium,Sí
Arabica,afca,Uganda,Other,1,60 kg,Africa Fine Coffee Association,"February 13th, 2012",Other,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,7.92,86.0,0.1,0,Blue-Green,0,1650.0,Alta (Arabica),Private Reserve AFC,86.0,84.30445754156509,Premium,Premium,Sí
Arabica,ethiopia commodity exchange,Ethiopia,sidamo,300,6,Ethiopia Commodity Exchange,"June 17th, 2010",Other,Natural / Dry,7.75,8.08,8.0,8.25,8.0,8.0,7.92,86.0,0.01,0,Green,4,1750.0,Alta (Arabica),Select Harvest ETH,86.0,85.30534219259141,Premium,Premium,Sí
Arabica,grounds for health admin,United States (Hawaii),kona,1,2,Specialty Coffee Association,"May 31st, 2010",Hawaiian Kona,Natural / Dry,8.33,8.17,7.75,8.0,7.75,7.83,8.17,86.0,0.0,0,Blue-Green,0,130.06425600000003,Baja (Arabica),Mill GRO,86.0,83.37464390707046,Premium,Premium,Sí
Arabica,juan luis alvarado romero,Guatemala,Other,80,69 kg,Asociacion Nacional Del Café,"May 16th, 2016",Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,8.0,85.92,0.1,0,Green,3,431.999136,Baja (Arabica),Mill JUA,85.92,82.83281296624504,Premium,Premium,Sí
Arabica,kawacom uganda ltd,Uganda,Other,1,60 kg,Uganda Coffee Development Authority,"June 30th, 2014",SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,8.0,85.92,0.12,0,Green,0,1650.0,Alta (Arabica),Mill KAW,85.92,84.27165427237877,Premium,Premium,Sí
Arabica,exportadora de cafe condor s.a,Colombia,huila,275,70 kg,Almacafé,"July 26th, 2013",Caturra,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,7.92,85.92,0.0,1,Blue-Green,0,1800.0,Premium (Arabica),Heritage EXP,85.92,83.4532482362293,Premium,Premium,Sí
Arabica,gonzalo hernandez,Other,Other,37,60 kg,Specialty Coffee Association of Costa Rica,"October 9th, 2017",Gesha,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,8.0,85.83,0.08,0,Blue-Green,0,1600.0,Alta (Arabica),Heritage GON,85.83,83.11337403418835,Premium,Premium,Sí
Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,Other,320,60 kg,METAD Agricultural Development plc,"April 4th, 2015",Other,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,8.0,85.83,0.1,0,Green,4,1900.0,Premium (Arabica),Origins IBR,85.83,85.25251568040848,Premium,Premium,Sí
Arabica,juan luis alvarado romero,Guatemala,Other,150,1 kg,Asociacion Nacional Del Café,"July 3rd, 2012",Bourbon,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,8.0,85.83,0.12,0,Green,3,464.5152000000001,Baja (Arabica),Mill JUA,85.83,82.51120333303766,Premium,Premium,Sí
Arabica,juan luis alvarado romero,Guatemala,Other,275,1 kg,Asociacion Nacional Del Café,"June 5th, 2012",Catuai,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,8.0,85.83,0.1,0,Blue-Green,1,431.999136,Baja (Arabica),Mill JUA,85.83,82.97510154884972,Premium,Premium,Sí
Arabica,seid damtew coffee planataion,Ethiopia,Other,320,19200 kg,METAD Agricultural Development plc,"June 23rd, 2017",Caturra,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,8.0,85.75,0.09,0,Green,7,1800.0,Premium (Arabica),Origins SEI,85.75,84.94851852336613,Premium,Premium,Sí
Arabica,dane loraas,Peru,Other,280,5 lbs,Specialty Coffee Association,"January 22nd, 2014",Caturra,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,8.0,85.75,0.1,4,Green,6,1300.0,Media (Arabica),Heritage DAN,85.75,82.21754285985425,Premium,Estándar,No
Arabica,"colbran coffeelands, ltd.",Other,Other,7,60 kg,Specialty Coffee Association,"October 25th, 2012",Other,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,7.92,85.75,0.12,0,Blue-Green,1,1700.0,Alta (Arabica),Select Harvest COL,85.75,82.88290483378007,Premium,Premium,Sí
Arabica,atlantic specialty coffee,El Salvador,Other,275,2 kg,Specialty Coffee Association,"March 18th, 2013",Bourbon,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,8.0,85.58,0.1,0,Blue-Green,3,1500.0,Alta (Arabica),Select Harvest ATL,85.58,83.49356847826498,Premium,Premium,Sí
Arabica,lusso lab,El Salvador,Other,19,1 kg,Specialty Coffee Association,"January 12th, 2013",Bourbon,Semi-Washed / Semi-Pulped,7.83,8.0,8.0,7.75,7.92,8.17,7.92,85.58,0.11,0,Green,0,1350.0,Media (Arabica),Mill LUS,85.58,83.48342805408427,Premium,Premium,Sí
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,8,100 lbs,Specialty Coffee Association,"April 6th, 2012",Hawaiian Kona,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,8.0,85.58,0.0,0,Blue-Green,1,157.93516800000003,Baja (Arabica),Private Reserve KON,85.58,83.38244128495745,Premium,Premium,Sí
Arabica,essencecoffee,Other,Other,100,60 kg,Blossom Valley International,"May 23rd, 2015",Caturra,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,7.83,85.5,0.09,2,Green,2,1680.0,Alta (Arabica),Private Reserve ESS,85.5,82.81709191762151,Premium,Premium,Sí
Arabica,essencecoffee,Kenya,Other,16,60 kg,Blossom Valley International,"May 23rd, 2015",SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,8.0,85.5,0.1,0,Green,3,1900.0,Premium (Arabica),Private Reserve ESS,85.5,84.68588496031886,Premium,Premium,Sí
Arabica,assefa belay coffee producer,Ethiopia,Other,320,60 kg,METAD Agricultural Development plc,"March 31st, 2015",Other,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,8.0,85.5,0.12,0,Green,7,1900.0,Premium (Arabica),Select Harvest ASS,85.5,85.39999925490567,Premium,Premium,Sí
Arabica,kyagalanyi ltd,Uganda,Other,320,60 kg,Uganda Coffee Development Authority,"June 26th, 2014",SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,8.08,85.5,0.12,0,Green,1,1600.0,Alta (Arabica),Select Harvest KYA,85.5,83.96995155441937,Premium,Premium,Sí
Arabica,juan luis alvarado romero,Guatemala,huehuetenango,250,69 kg,Asociacion Nacional Del Café,"February 26th, 2013",Bourbon,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,7.83,85.5,0.11,0,Green,1,527.6892672,Baja (Arabica),Mill JUA,85.5,83.05673037162916,Premium,Premium,Sí
Arabica,assefa belay coffee producer,Ethiopia,Other,320,60 kg,METAD Agricultural Development plc,"March 31st, 2015",Other,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,8.08,85.42,0.1,0,Green,18,1900.0,Premium (Arabica),Select Harvest ASS,85.42,82.49863765548243,Premium,Estándar,No
Arabica,great lakes coffee uganda,Uganda,Other,150,60 kg,Uganda Coffee Development Authority,"June 26th, 2014",SL14,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,8.0,85.42,0.12,0,Green,5,1950.0,Premium (Arabica),Mill GRE,85.42,84.07205578801573,Premium,Premium,Sí
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,8,100 lbs,Specialty Coffee Association,"April 6th, 2012",Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,8.25,85.42,0.0,4,Blue-Green,6,157.93516800000003,Baja (Arabica),Private Reserve KON,85.42,82.1551144508071,Premium,Estándar,No
Arabica,nucoffee,Brazil,south of minas,5,60 kg,NUCOFFEE,"December 3rd, 2011",Bourbon,Semi-Washed / Semi-Pulped,8.0,8.0,8.0,7.67,7.75,8.0,8.0,85.42,0.11,0,Blue-Green,1,1250.0,Media (Arabica),Heritage NUC,85.42,83.17074304653265,Premium,Premium,Sí
Arabica,grounds for health admin,El Salvador,Other,2,"1 kg,lbs",Specialty Coffee Association,"May 31st, 2010",Bourbon,Washed / Wet,8.08,7.83,7.83,8.08,7.83,7.83,7.92,85.42,0.01,0,Green,0,1400.0,Media (Arabica),Mill GRO,85.42,83.23963723420789,Premium,Premium,Sí
Arabica,yunnan coffee exchange,China,yunnan,3,60 kg,Yunnan Coffee Exchange,"April 6th, 2016",Catimor,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,7.92,85.33,0.1,0,Green,0,1700.0,Alta (Arabica),Private Reserve YUN,85.33,84.03533186999852,Premium,Premium,Sí
Arabica,essencecoffee,Guatemala,huehuetenango,36,30 kg,Blossom Valley International,"May 23rd, 2015",Other,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,7.83,85.33,0.11,0,Green,1,1770.0,Alta (Arabica),Private Reserve ESS,85.33,83.84236877667962,Premium,Premium,Sí
Arabica,the coffee source inc.,Costa Rica,Other,250,3 lbs,Specialty Coffee Association,"May 1st, 2014",Caturra,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,8.0,85.33,0.0,0,Blue-Green,0,1300.0,Media (Arabica),Origins THE,85.33,83.8586087920595,Premium,Premium,Sí
Arabica,the coffee source inc.,Costa Rica,Other,250,3 lbs,Specialty Coffee Association,"May 1st, 2014",Caturra,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,7.92,85.33,0.1,0,Blue-Green,2,1300.0,Media (Arabica),Origins THE,85.33,83.30645056123801,Premium,Premium,Sí
Arabica,rashid moledina & co. (msa) ltd.,Kenya,Other,20,60 kg,Kenya Coffee Traders Association,"April 19th, 2013",Other,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,7.92,85.33,0.0,0,Green,2,1600.0,Alta (Arabica),Mill RAS,85.33,84.54255318413232,Premium,Premium,Sí
Arabica,ibero kenya limited,Kenya,Other,300,60 kg,Kenya Coffee Traders Association,"March 12th, 2013",Other,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,7.83,85.33,0.0,0,Green,6,1200.0,Media (Arabica),Heritage IBE,85.33,83.791869988694,Premium,Premium,Sí
Arabica,ethiopia commodity exchange,Ethiopia,Other,360,6 kg,Ethiopia Commodity Exchange,"June 17th, 2010",Other,Natural / Dry,7.83,7.83,7.92,8.08,7.75,7.83,8.08,85.33,0.05,0,Green,2,1800.0,Premium (Arabica),Select Harvest ETH,85.33,86.53054386939431,Premium,Premium,Sí
Arabica,ethiopia commodity exchange,Ethiopia,Other,300,6,Ethiopia Commodity Exchange,"June 17th, 2010",Typica,Natural / Dry,7.92,7.83,7.75,8.33,7.75,7.75,8.0,85.33,0.1,0,Green,3,1800.0,Premium (Arabica),Select Harvest ETH,85.33,85.14277672232315,Premium,Premium,Sí
Arabica,juan luis alvarado romero,Guatemala,oriente,250,69 kg,Asociacion Nacional Del Café,"April 27th, 2016",Bourbon,Washed / Wet,8.0,7.92,7.75,8.0,7.92,7.83,7.83,85.25,0.1,0,Green,2,431.999136,Baja (Arabica),Mill JUA,85.25,82.38580630214703,Premium,Estándar,No
Arabica,exportadora de cafe condor s.a,Colombia,santander,275,70 kg,Almacafé,"April 8th, 2015",Caturra,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,7.92,85.25,0.11,0,Green,0,1550.0,Alta (Arabica),Heritage EXP,85.25,83.4974659743513,Premium,Premium,Sí
Arabica,compañia colombiana agroindustrial s.a,Colombia,santander,250,70 kg,Almacafé,"January 17th, 2014",Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,7.92,85.25,0.12,0,Green,2,1550.0,Alta (Arabica),Heritage COM,85.25,83.94632369963206,Premium,Premium,Sí
